timestamp,equipment_id,level,error_code,message
2026-08-11T09:10:00,PRESS-01,INFO,,cycle started
2026-08-11T09:14:00,PRESS-01,ERR,ERR-204,pressure deviation
2026-08-11T10:22:00,PRESS-02,ERR,ERR-310,temperature high
2026-08-12T08:15:00,PRESS-01,ERR,ERR-204,pressure deviation
2026-08-12T11:35:00,MILL-02,WARN,WARN-112,vibration trend
2026-08-13T07:45:00,PRESS-03,ERR,ERR-501,sensor timeout
2026-08-13T08:01:00,PRESS-03,ERR,ERR-501,sensor timeout
2026-08-14T13:17:00,PRESS-01,ERR,ERR-204,pressure deviation
2026-08-14T14:08:00,PRESS-02,INFO,,maintenance complete
2026-08-15T06:30:00,PRESS-03,ERR,ERR-502,sensor drift
2026-08-15T09:40:00,MILL-02,ERR,ERR-410,spindle vibration
2026-08-16T12:10:00,PRESS-01,ERR,ERR-205,pressure recovery slow
2026-08-16T15:20:00,MILL-02,ERR,ERR-410,spindle vibration
2026-08-17T07:55:00,PRESS-03,INFO,,sensor recalibrated
2026-08-17T10:30:00,PRESS-01,ERR,ERR-204,pressure deviation

